A8O17_RS05005,locus_tag.d6,start,end,strand,locus_tag.168
NZ_CP015975.1,A8O17_RS04925,938394,938849,-,BSU_09140
NZ_CP015975.1,A8O17_RS04930,938999,939568,+,BSU_09150
NZ_CP015975.1,A8O17_RS04935,939689,940657,+,BSU_09165
NZ_CP015975.1,A8O17_RS04940,940589,941242,-,BSU_09180
NZ_CP015975.1,A8O17_RS04945,941325,944978,+,BSU_09190
NZ_CP015975.1,A8O17_RS04950,944975,945571,+,BSU_09200
NZ_CP015975.1,A8O17_RS04955,945601,946509,-,BSU_09210
NZ_CP015975.1,A8O17_RS04960,946620,947015,+,BSU_09220
NZ_CP015975.1,A8O17_RS04965,947152,947574,+,BSU_09230
NZ_CP015975.1,A8O17_RS04970,947701,948363,+,BSU_09240
NZ_CP015975.1,A8O17_RS04975,948379,949920,+,BSU_09250
NZ_CP015975.1,A8O17_RS04980,950341,951693,+,BSU_09260
NZ_CP015975.1,A8O17_RS04985,951721,952299,+,BSU_09270
NZ_CP015975.1,A8O17_RS04990,952478,953302,+,BSU_09280
NZ_CP015975.1,A8O17_RS04995,953321,954811,+,BSU_09290
NZ_CP015975.1,A8O17_RS05000,954952,956619,+,BSU_09300
NZ_CP015975.1,A8O17_RS05005,956751,958496,+,BSU_09310
NZ_CP015975.1,A8O17_RS05010,958645,959784,+,BSU_09320
NZ_CP015975.1,A8O17_RS05015,959781,960425,+,BSU_09330
NZ_CP015975.1,A8O17_RS05020,960422,960946,+,BSU_09340
NZ_CP015975.1,A8O17_RS05025,960961,961203,-,BSU_09350
NZ_CP015975.1,A8O17_RS05030,961404,961727,+,BSU_09360
NZ_CP015975.1,A8O17_RS05035,961769,963235,-,BSU_09370
NZ_CP015975.1,A8O17_RS05040,963388,963828,-,BSU_09380
NZ_CP015975.1,A8O17_RS05045,963935,965593,-,BSU_09390
NZ_CP015975.1,A8O17_RS05050,965624,967030,+,BSU_09400
NZ_CP015975.1,A8O17_RS05055,967060,968445,-,BSU_09410
NZ_CP015975.1,A8O17_RS05060,968975,969979,+,BSU_09420
NZ_CP015975.1,A8O17_RS05065,970050,970925,-,BSU_09430
NZ_CP015975.1,A8O17_RS05070,971034,972134,+,BSU_09440
NZ_CP015975.1,A8O17_RS05075,972208,973077,+,BSU_09450
NZ_CP015975.1,A8O17_RS05080,973327,974724,+,BSU_09460
NZ_CP015975.1,A8O17_RS05085,974842,976197,+,BSU_09470
NZ_CP015975.1,A8O17_RS05090,976232,977641,-,BSU_09480
NZ_CP015975.1,A8O17_RS05095,977751,978179,+,BSU_09490
NZ_CP015975.1,A8O17_RS05100,978210,978500,-,BSU_09500
NZ_CP015975.1,A8O17_RS05105,978488,979564,-,BSU_09510
NZ_CP015975.1,A8O17_RS05110,979554,980045,-,BSU_09520
NZ_CP015975.1,A8O17_RS05115,980242,981237,+,BSU_09530
NZ_CP015975.1,A8O17_RS05120,981372,981971,+,BSU_09540
NZ_CP015975.1,A8O17_RS05125,982040,983374,-,BSU_09550
NZ_CP015975.1,A8O17_RS05130,983435,983866,-,BSU_09560
NZ_CP015975.1,A8O17_RS05135,984023,985204,+,BSU_09570
NZ_CP015975.1,A8O17_RS05140,985531,986916,+,BSU_09590
NZ_CP015975.1,A8O17_RS05145,986930,987286,-,BSU_09600
NZ_CP015975.1,A8O17_RS05150,987283,987678,-,BSU_09610
NZ_CP015975.1,A8O17_RS05155,987665,988396,-,BSU_09620
NZ_CP015975.1,A8O17_RS05160,988630,988737,+,BSU_09630
NZ_CP015975.1,A8O17_RS05165,988886,990001,+,BSU_09640
NZ_CP015975.1,A8O17_RS05170,990071,990814,+,BSU_09650
NZ_CP015975.1,A8O17_RS05175,990838,991686,-,BSU_09660
NZ_CP015975.1,A8O17_RS05180,991971,992819,+,BSU_09670
NZ_CP015975.1,A8O17_RS05185,992862,994223,-,BSU_09680
NZ_CP015975.1,A8O17_RS05190,994350,994850,-,BSU_09690
NZ_CP015975.1,A8O17_RS05195,995014,995175,+,BSU_09700
NZ_CP015975.1,A8O17_RS05200,995295,997052,+,BSU_09710
NZ_CP015975.1,A8O17_RS05205,997049,999070,+,BSU_09720
NZ_CP015975.1,A8O17_RS05210,999119,999739,-,BSU_09730
NZ_CP015975.1,A8O17_RS20405,999778,999903,-,BSU_09740
NZ_CP015975.1,A8O17_RS05215,1000008,1000211,-,BSU_09750
NZ_CP015975.1,A8O17_RS05220,1000420,1000638,-,BSU_09760
NZ_CP015975.1,A8O17_RS05225,1000788,1002149,-,BSU_09770
NZ_CP015975.1,A8O17_RS05230,1002139,1003230,-,BSU_09780
NZ_CP015975.1,A8O17_RS05235,1003497,1004630,+,BSU_09790
NZ_CP015975.1,A8O17_RS05240,1004723,1005076,+,BSU_09800
NZ_CP015975.1,A8O17_RS05245,1005120,1006193,-,BSU_09810
NZ_CP015975.1,A8O17_RS05250,1006679,1007545,+,BSU_09830
NZ_CP015975.1,A8O17_RS05255,1007657,1009162,+,BSU_09840
NZ_CP015975.1,A8O17_RS05260,1009180,1010397,-,BSU_09850
NZ_CP015975.1,A8O17_RS05265,1010404,1010901,-,BSU_09860
NZ_CP015975.1,A8O17_RS05270,1010965,1011303,-,BSU_09870
NZ_CP015975.1,A8O17_RS05275,1011468,1012235,+,BSU_09880
NZ_CP015975.1,A8O17_RS05280,1012256,1012441,-,BSU_09889
NZ_CP015975.1,A8O17_RS05285,1012568,1013464,+,BSU_09890
NZ_CP015975.1,A8O17_RS05290,1013457,1014716,+,BSU_09900
NZ_CP015975.1,A8O17_RS05295,1014823,1016049,+,BSU_09910
NZ_CP015975.1,A8O17_RS05300,1016054,1018945,+,BSU_09920
NZ_CP015975.1,A8O17_RS05305,1019019,1019963,+,BSU_09930
NZ_CP015975.1,A8O17_RS05310,1020088,1020300,+,BSU_09940
NZ_CP015975.1,A8O17_RS05315,1020341,1021219,-,BSU_09950
NZ_CP015975.1,A8O17_RS20410,1021379,1021465,+,BSU_09958
NZ_CP015975.1,A8O17_RS05320,1021590,1021676,+,BSU_09959
NZ_CP015975.1,A8O17_RS20415,1021729,1021911,-,new_1071709_1071971_c
NZ_CP015975.1,A8O17_RS05325,1022019,1022537,-,BSU_09965
NZ_CP015975.1,A8O17_RS05330,1022745,1023086,+,BSU_09980
NZ_CP015975.1,A8O17_RS05335,1023083,1023694,-,BSU_09990
NZ_CP015975.1,A8O17_RS05340,1023872,1024228,-,BSU_10000
NZ_CP015975.1,A8O17_RS05345,1024358,1024549,+,BSU_10009
NZ_CP015975.1,A8O17_RS05350,1024623,1025141,-,BSU_10010
NZ_CP015975.1,A8O17_RS05355,1025266,1026345,-,BSU_10020
NZ_CP015975.1,A8O17_RS05360,1026492,1026929,-,BSU_10030
NZ_CP015975.1,A8O17_RS05365,1027417,1028160,+,BSU_10040
NZ_CP015975.1,A8O17_RS05370,1028153,1029379,+,BSU_10050
NZ_CP015975.1,A8O17_RS05375,1029399,1030109,+,BSU_10060
NZ_CP015975.1,A8O17_RS05380,1030127,1031317,-,BSU_10070
NZ_CP015975.1,A8O17_RS05385,1031390,1032781,-,BSU_10080
NZ_CP015975.1,A8O17_RS05390,1032847,1033161,-,BSU_10090
NZ_CP015975.1,A8O17_RS05395,1033206,1033706,-,BSU_10100
NZ_CP015975.1,A8O17_RS05400,1033828,1035972,+,BSU_10110
NZ_CP015975.1,A8O17_RS05405,1036094,1037155,+,BSU_10120
NZ_CP015975.1,A8O17_RS05410,1037227,1038159,+,BSU_10130
NZ_CP015975.1,A8O17_RS05415,1038174,1039586,+,BSU_10140
NZ_CP015975.1,A8O17_RS05420,1039732,1040307,+,BSU_10150
NZ_CP015975.1,A8O17_RS05425,1040378,1042705,+,BSU_10160
NZ_CP015975.1,A8O17_RS05430,1042747,1043724,-,BSU_10170
NZ_CP015975.1,A8O17_RS05435,1043851,1044627,+,BSU_10180
NZ_CP015975.1,A8O17_RS05440,1044711,1044902,-,new_1094366_1094987_c
NZ_CP015975.1,A8O17_RS05445,1045040,1046080,+,BSU_10200
NZ_CP015975.1,A8O17_RS05450,1046093,1046500,+,BSU_10210
NZ_CP015975.1,A8O17_RS05455,1046537,1047826,-,BSU_10220
NZ_CP015975.1,A8O17_RS05460,1048097,1048237,-,BSU_10230
NZ_CP015975.1,A8O17_RS05465,1048389,1049123,+,BSU_10240
NZ_CP015975.1,A8O17_RS05470,1049136,1050131,+,BSU_10250
NZ_CP015975.1,A8O17_RS05475,1050196,1050840,+,BSU_10260
NZ_CP015975.1,A8O17_RS05480,1050957,1052498,+,BSU_10270
NZ_CP015975.1,A8O17_RS05485,1052537,1052932,-,BSU_10280
NZ_CP015975.1,A8O17_RS05490,1053081,1054361,+,BSU_10290
NZ_CP015975.1,A8O17_RS05495,1054400,1055545,-,BSU_10300
NZ_CP015975.1,A8O17_RS05500,1055980,1056429,+,BSU_10310
NZ_CP015975.1,A8O17_RS05505,1056501,1057493,+,BSU_10320
NZ_CP015975.1,A8O17_RS05510,1057710,1058681,+,BSU_10330
NZ_CP015975.1,A8O17_RS05515,1058713,1059294,-,BSU_10340
NZ_CP015975.1,A8O17_RS05520,1059365,1060459,-,BSU_10350
NZ_CP015975.1,A8O17_RS05525,1060456,1061895,-,BSU_10360
NZ_CP015975.1,A8O17_RS05530,1061902,1062462,-,BSU_10370
NZ_CP015975.1,A8O17_RS05535,1062597,1063895,-,BSU_10380
NZ_CP015975.1,A8O17_RS05540,1064034,1065563,-,BSU_10390
NZ_CP015975.1,A8O17_RS05545,1065675,1066532,+,BSU_10400
NZ_CP015975.1,A8O17_RS05550,1066560,1066793,-,BSU_10410
NZ_CP015975.1,A8O17_RS05555,1067086,1067664,+,BSU_10420
NZ_CP015975.1,A8O17_RS05560,1067711,1068610,-,BSU_10430
NZ_CP015975.1,A8O17_RS05565,1068827,1069096,+,BSU_10440
NZ_CP015975.1,A8O17_RS05570,1069139,1070608,-,BSU_10450
NZ_CP015975.1,A8O17_RS05575,1070605,1070805,-,BSU_10460
NZ_CP015975.1,A8O17_RS05580,1071013,1071375,-,BSU_10470
NZ_CP015975.1,A8O17_RS05585,1071527,1072150,+,BSU_10480
NZ_CP015975.1,A8O17_RS05590,1072152,1072658,+,BSU_10490
NZ_CP015975.1,A8O17_RS05595,1072839,1074338,+,BSU_10500
NZ_CP015975.1,A8O17_RS05600,1074415,1074942,+,BSU_10510
NZ_CP015975.1,A8O17_RS05605,1075100,1076305,-,BSU_10520
NZ_CP015975.1,A8O17_RS05610,1076377,1077429,-,BSU_10530
NZ_CP015975.1,A8O17_RS05615,1077443,1078291,-,BSU_10540
NZ_CP015975.1,A8O17_RS05620,1078263,1079588,-,BSU_10550
NZ_CP015975.1,A8O17_RS05625,1079692,1080681,+,BSU_10560
NZ_CP015975.1,A8O17_RS05630,1080895,1082049,-,BSU_10570
NZ_CP015975.1,A8O17_RS05635,1082156,1083361,-,BSU_10580
NZ_CP015975.1,A8O17_RS05640,1083475,1085202,+,BSU_10590
NZ_CP015975.1,A8O17_RS05645,1085232,1085558,-,BSU_10600
NZ_CP015975.1,A8O17_RS05650,1085676,1086113,-,BSU_10610
NZ_CP015975.1,A8O17_RS05655,1086297,1089797,+,BSU_10620
NZ_CP015975.1,A8O17_RS05660,1089784,1093482,+,BSU_10630
NZ_CP015975.1,A8O17_RS05665,1093554,1094729,+,BSU_10640
NZ_CP015975.1,A8O17_RS05670,1094726,1098118,+,BSU_10650
NZ_CP015975.1,A8O17_RS05675,1098132,1098434,+,BSU_10660
NZ_CP015975.1,A8O17_RS05680,1098471,1098689,-,BSU_10670
NZ_CP015975.1,A8O17_RS05685,1098721,1099122,-,BSU_10680
NZ_CP015975.1,A8O17_RS05690,1099122,1099298,-,BSU_10690
NZ_CP015975.1,A8O17_RS05695,1099295,1099912,-,BSU_10700
NZ_CP015975.1,A8O17_RS05700,1099935,1100168,-,BSU_10710
NZ_CP015975.1,A8O17_RS05705,1100183,1100404,-,BSU_10720
NZ_CP015975.1,A8O17_RS05715,1100827,1100997,-,BSU_10730
NZ_CP015975.1,A8O17_RS05720,1101143,1102066,-,BSU_10740
NZ_CP015975.1,A8O17_RS05725,1102221,1103126,+,BSU_10750
NZ_CP015975.1,A8O17_RS05730,1103242,1103598,+,BSU_10760
NZ_CP015975.1,A8O17_RS05735,1103766,1106450,+,BSU_10770
NZ_CP015975.1,A8O17_RS05740,1106481,1107068,-,BSU_10780
NZ_CP015975.1,A8O17_RS05745,1107214,1109058,+,BSU_10790
NZ_CP015975.1,A8O17_RS05750,1109188,1109667,-,BSU_10800
NZ_CP015975.1,A8O17_RS05755,1109899,1110723,+,BSU_10810
NZ_CP015975.1,A8O17_RS05760,1110753,1112120,-,BSU_10820
NZ_CP015975.1,A8O17_RS05765,1112244,1113107,+,BSU_10830
NZ_CP015975.1,A8O17_RS05770,1113125,1114138,+,BSU_10840
NZ_CP015975.1,A8O17_RS05775,1114347,1115375,+,BSU_10850
NZ_CP015975.1,A8O17_RS05780,1115426,1115935,-,BSU_10860
NZ_CP015975.1,A8O17_RS05785,1115985,1116647,-,BSU_10870
NZ_CP015975.1,A8O17_RS05790,1116714,1118168,+,BSU_10880
NZ_CP015975.1,A8O17_RS05795,1118176,1118814,-,BSU_10890
NZ_CP015975.1,A8O17_RS05800,1119020,1119826,+,BSU_10900
NZ_CP015975.1,A8O17_RS05805,1119854,1120453,-,BSU_10910
NZ_CP015975.1,A8O17_RS05810,1120450,1121619,-,BSU_10920
NZ_CP015975.1,A8O17_RS05815,1121732,1122442,-,BSU_10930
NZ_CP015975.1,A8O17_RS05820,1122627,1123313,+,BSU_10940
NZ_CP015975.1,A8O17_RS05825,1123310,1124068,+,BSU_10950
NZ_CP015975.1,A8O17_RS05830,1124113,1124742,-,BSU_10960
NZ_CP015975.1,A8O17_RS05835,1124838,1125953,-,BSU_10970
NZ_CP015975.1,A8O17_RS05840,1125962,1127230,-,BSU_10980
NZ_CP015975.1,A8O17_RS05845,1127342,1128190,-,BSU_10990
NZ_CP015975.1,A8O17_RS05850,1128195,1128644,-,BSU_11000
NZ_CP015975.1,A8O17_RS05855,1128734,1130572,-,BSU_11010
NZ_CP015975.1,A8O17_RS05860,1130886,1131377,-,BSU_11020
NZ_CP015975.1,A8O17_RS05865,1131476,1132372,+,BSU_11030
NZ_CP015975.1,A8O17_RS05870,1132425,1133009,-,BSU_11040
NZ_CP015975.1,A8O17_RS05875,1133006,1133935,-,BSU_11055
NZ_CP015975.1,A8O17_RS05880,1133920,1134456,-,BSU_11070
NZ_CP015975.1,A8O17_RS05885,1134634,1134981,+,BSU_11079
NZ_CP015975.1,A8O17_RS05890,1134978,1135565,+,BSU_11080
NZ_CP015975.1,A8O17_RS05895,1135585,1135878,+,BSU_11090
NZ_CP015975.1,A8O17_RS05900,1136014,1137630,+,BSU_11100
NZ_CP015975.1,A8O17_RS05905,1137677,1138528,-,BSU_11110
NZ_CP015975.1,A8O17_RS05910,1138666,1139508,+,BSU_11120
NZ_CP015975.1,A8O17_RS05915,1139623,1139982,+,BSU_11130
NZ_CP015975.1,A8O17_RS05920,1140013,1140210,-,BSU_11139
NZ_CP015975.1,A8O17_RS05930,1140467,1141279,-,BSU_11140
NZ_CP015975.1,A8O17_RS05935,1141400,1142167,+,BSU_11150
NZ_CP015975.1,A8O17_RS05940,1142231,1142539,+,BSU_11160
NZ_CP015975.1,A8O17_RS05945,1142604,1142774,+,new_1192592_1192857
NZ_CP015975.1,A8O17_RS05950,1142835,1144265,+,BSU_11170
NZ_CP015975.1,A8O17_RS05955,1144310,1144804,+,BSU_11180
NZ_CP015975.1,A8O17_RS05960,1145011,1146048,+,BSU_11190
NZ_CP015975.1,A8O17_RS05965,1146068,1147288,+,BSU_11200
NZ_CP015975.1,A8O17_RS05970,1147303,1148079,+,BSU_11210
NZ_CP015975.1,A8O17_RS05975,1148076,1149233,+,BSU_11220
NZ_CP015975.1,A8O17_RS05980,1149304,1150359,+,BSU_11230
NZ_CP015975.1,A8O17_RS05985,1150352,1153444,+,BSU_11240
NZ_CP015975.1,A8O17_RS05990,1153432,1154391,+,BSU_11250
NZ_CP015975.1,A8O17_RS05995,1154477,1154656,+,BSU_11260
NZ_CP015975.1,A8O17_RS06000,1154702,1154887,-,BSU_11270
NZ_CP015975.1,A8O17_RS06005,1155136,1155870,+,BSU_11280
NZ_CP015975.1,A8O17_RS06010,1155952,1156509,+,BSU_11290
NZ_CP015975.1,A8O17_RS06015,1156600,1157553,+,BSU_11300
NZ_CP015975.1,A8O17_RS06020,1157568,1157759,+,BSU_11310
NZ_CP015975.1,A8O17_RS06025,1157789,1158028,-,BSU_11320
NZ_CP015975.1,A8O17_RS06030,1158193,1159131,+,BSU_11330
NZ_CP015975.1,A8O17_RS06035,1159154,1160395,+,BSU_11340
NZ_CP015975.1,A8O17_RS06040,1160471,1161256,+,BSU_11350
NZ_CP015975.1,A8O17_RS06045,1161448,1162434,+,BSU_11360
NZ_CP015975.1,A8O17_RS06050,1162431,1163420,+,BSU_11370
NZ_CP015975.1,A8O17_RS06055,1163508,1165138,+,BSU_11382
NZ_CP015975.1,A8O17_RS06060,1165214,1166164,+,BSU_11390
NZ_CP015975.1,A8O17_RS06065,1166181,1167092,+,BSU_11400
NZ_CP015975.1,A8O17_RS06070,1167297,1168049,+,BSU_11410
NZ_CP015975.1,A8O17_RS06075,1168084,1169076,-,BSU_11420
NZ_CP015975.1,A8O17_RS06080,1169820,1171457,+,BSU_11430
NZ_CP015975.1,A8O17_RS06085,1171565,1172500,+,BSU_11440
NZ_CP015975.1,A8O17_RS06090,1172504,1173421,+,BSU_11450
NZ_CP015975.1,A8O17_RS06095,1173426,1174502,+,BSU_11460
NZ_CP015975.1,A8O17_RS06100,1174504,1175421,+,BSU_11470
NZ_CP015975.1,A8O17_RS06105,1175528,1176745,+,BSU_11480
NZ_CP015975.1,A8O17_RS06110,1176909,1177487,+,BSU_11490
NZ_CP015975.1,A8O17_RS06115,1177668,1178063,+,BSU_11500
NZ_CP015975.1,A8O17_RS06120,1178106,1178762,-,BSU_11510
NZ_CP015975.1,A8O17_RS20795,1178932,1179072,+,BSU_11515
NZ_CP015975.1,A8O17_RS06125,1179039,1179695,+,BSU_11520
NZ_CP015975.1,A8O17_RS20800,1179690,1179812,-,BSU_11525
NZ_CP015975.1,A8O17_RS06130,1179856,1181007,+,BSU_11530
NZ_CP015975.1,A8O17_RS06135,1181054,1183066,+,BSU_11540
NZ_CP015975.1,A8O17_RS06140,1183104,1183271,-,BSU_11549
NZ_CP015975.1,A8O17_RS06150,1183585,1184484,-,BSU_11550
NZ_CP015975.1,A8O17_RS06155,1184481,1184879,-,BSU_11560
NZ_CP015975.1,A8O17_RS06160,1185134,1185679,-,BSU_11570
NZ_CP015975.1,A8O17_RS06165,1185883,1186455,-,BSU_11580
NZ_CP015975.1,A8O17_RS06170,1186580,1186948,+,BSU_11590
NZ_CP015975.1,A8O17_RS06175,1186977,1187612,+,BSU_11600
NZ_CP015975.1,A8O17_RS06180,1187631,1188431,+,BSU_11610
NZ_CP015975.1,A8O17_RS06185,1188494,1189345,+,BSU_11620
NZ_CP015975.1,A8O17_RS06190,1189358,1190092,-,BSU_11630
NZ_CP015975.1,A8O17_RS06195,1190327,1192171,+,BSU_11640
NZ_CP015975.1,A8O17_RS06200,1192420,1193130,+,BSU_11650
NZ_CP015975.1,A8O17_RS06205,1193105,1193722,+,BSU_11660
NZ_CP015975.1,A8O17_RS06210,1193706,1194815,+,BSU_11670
NZ_CP015975.1,A8O17_RS06215,1194815,1195015,+,BSU_11680
NZ_CP015975.1,A8O17_RS06220,1195012,1195782,+,BSU_11690
NZ_CP015975.1,A8O17_RS06225,1195779,1196789,+,BSU_11700
NZ_CP015975.1,A8O17_RS06230,1196808,1197623,+,BSU_11710
NZ_CP015975.1,A8O17_RS06235,1197759,1198535,+,BSU_11720
NZ_CP015975.1,A8O17_RS06240,1198636,1199319,+,BSU_11730
NZ_CP015975.1,A8O17_RS06245,1199413,1199859,-,BSU_11740
NZ_CP015975.1,A8O17_RS06250,1199987,1200475,-,BSU_11750
NZ_CP015975.1,A8O17_RS06255,1200627,1201145,-,BSU_11760
NZ_CP015975.1,A8O17_RS06260,1201244,1201561,-,BSU_11770
NZ_CP015975.1,A8O17_RS06265,1201602,1201988,-,BSU_11780
NZ_CP015975.1,A8O17_RS06270,1202148,1202504,+,BSU_11790
NZ_CP015975.1,A8O17_RS06280,1202786,1202992,+,BSU_11799
NZ_CP015975.1,A8O17_RS06285,1203074,1203223,+,BSU_11809
NZ_CP015975.1,A8O17_RS06290,1203356,1203610,+,BSU_11810
NZ_CP015975.1,A8O17_RS06295,1203684,1205963,-,BSU_11820
NZ_CP015975.1,A8O17_RS06300,1206080,1206334,+,BSU_11839
NZ_CP015975.1,A8O17_RS06305,1206407,1206829,-,BSU_11840
NZ_CP015975.1,A8O17_RS06310,1206833,1207348,-,BSU_11850
NZ_CP015975.1,A8O17_RS06315,1207385,1208107,-,BSU_11860
NZ_CP015975.1,A8O17_RS06320,1208463,1209584,+,BSU_11870
NZ_CP015975.1,A8O17_RS06325,1209577,1210749,+,BSU_11880
NZ_CP015975.1,A8O17_RS06330,1210782,1211327,-,BSU_11890
NZ_CP015975.1,A8O17_RS06335,1211397,1212587,-,BSU_11900
NZ_CP015975.1,A8O17_RS06350,1213673,1214902,-,BSU_11910
NZ_CP015975.1,A8O17_RS06355,1215028,1215348,+,BSU_11920
NZ_CP015975.1,A8O17_RS06360,1215501,1215632,+,BSU_11928
NZ_CP015975.1,A8O17_RS06365,1215648,1215821,+,BSU_11929
NZ_CP015975.1,A8O17_RS06370,1215858,1216319,+,BSU_11930
NZ_CP015975.1,A8O17_RS06375,1216585,1217088,+,BSU_11940
NZ_CP015975.1,A8O17_RS06380,1217100,1217384,+,BSU_11950
NZ_CP015975.1,A8O17_RS06385,1217545,1218072,+,BSU_11960
NZ_CP015975.1,A8O17_RS06390,1218246,1218563,+,BSU_11970
NZ_CP015975.1,A8O17_RS06395,1218800,1219555,+,BSU_11980
NZ_CP015975.1,A8O17_RS06400,1219704,1220051,-,BSU_11990
NZ_CP015975.1,A8O17_RS06405,1220602,1222548,+,BSU_12000
NZ_CP015975.1,A8O17_RS06410,1222696,1224648,+,BSU_12010
NZ_CP015975.1,A8O17_RS06415,1224663,1225610,+,BSU_12020
NZ_CP015975.1,A8O17_RS06420,1225780,1226262,+,BSU_12030
NZ_CP015975.1,A8O17_RS06425,1226308,1226814,-,BSU_12040
NZ_CP015975.1,A8O17_RS06430,1227033,1227428,-,BSU_12050
NZ_CP015975.1,A8O17_RS06435,1227657,1228136,+,BSU_12060
NZ_CP015975.1,A8O17_RS06440,1228176,1228370,-,BSU_12069
NZ_CP015975.1,A8O17_RS06445,1228536,1228865,-,BSU_12070
NZ_CP015975.1,A8O17_RS06450,1229485,1230474,-,BSU_12080
NZ_CP015975.1,A8O17_RS06455,1230597,1230845,-,BSU_12090
NZ_CP015975.1,A8O17_RS06460,1231099,1232502,+,BSU_12100
NZ_CP015975.1,A8O17_RS06465,1232542,1233015,-,BSU_12110
NZ_CP015975.1,A8O17_RS06470,1233140,1233307,-,BSU_12120
NZ_CP015975.1,A8O17_RS06480,1233434,1234333,+,BSU_12130
NZ_CP015975.1,A8O17_RS06485,1234342,1234740,-,BSU_12140
NZ_CP015975.1,A8O17_RS06490,1234841,1235416,-,BSU_12150
NZ_CP015975.1,A8O17_RS06495,1235562,1238519,+,BSU_12160
NZ_CP015975.1,A8O17_RS06500,1238512,1239072,+,BSU_12170
NZ_CP015975.1,A8O17_RS06505,1239269,1239910,+,BSU_12180
NZ_CP015975.1,A8O17_RS06510,1239989,1240615,+,BSU_12190
NZ_CP015975.1,A8O17_RS06515,1240646,1240924,-,BSU_12200
NZ_CP015975.1,A8O17_RS06520,1241315,1242505,+,BSU_12210
NZ_CP015975.1,A8O17_RS06525,1242528,1243706,+,BSU_12220
NZ_CP015975.1,A8O17_RS06530,1243747,1243935,-,BSU_12229
NZ_CP015975.1,A8O17_RS06535,1244109,1244921,+,BSU_12230
NZ_CP015975.1,A8O17_RS06540,1244967,1245719,-,BSU_12240
NZ_CP015975.1,A8O17_RS06545,1245719,1246471,-,BSU_12250
NZ_CP015975.1,A8O17_RS06550,1246591,1247565,-,BSU_12260
NZ_CP015975.1,A8O17_RS06555,1247697,1248194,+,BSU_12270
NZ_CP015975.1,A8O17_RS06560,1248583,1249005,+,BSU_12280
NZ_CP015975.1,A8O17_RS06565,1249045,1250223,+,BSU_12290
NZ_CP015975.1,A8O17_RS06570,1250421,1251842,+,BSU_12300
NZ_CP015975.1,A8O17_RS06575,1251910,1253289,+,BSU_12310
NZ_CP015975.1,A8O17_RS06580,1253394,1254407,+,BSU_12320
NZ_CP015975.1,A8O17_RS06585,1254413,1255432,+,BSU_12330
NZ_CP015975.1,A8O17_RS06590,1255457,1256536,+,BSU_12340
NZ_CP015975.1,A8O17_RS06595,1256533,1257369,+,BSU_12350
NZ_CP015975.1,A8O17_RS06600,1257417,1258685,+,BSU_12360
NZ_CP015975.1,A8O17_RS06605,1258773,1259774,+,BSU_12370
NZ_CP015975.1,A8O17_RS06610,1259851,1261293,+,BSU_12380
NZ_CP015975.1,A8O17_RS06615,1261290,1262783,+,BSU_12390
NZ_CP015975.1,A8O17_RS06620,1262822,1263586,-,BSU_12400
NZ_CP015975.1,A8O17_RS06625,1263622,1263942,+,BSU_12810
NZ_CP015975.1,A8O17_RS20805,1263979,1264116,-,BSU_12815
NZ_CP015975.1,A8O17_RS06630,1264202,1264372,-,BSU_12820
NZ_CP015975.1,A8O17_RS06635,1264372,1265118,-,BSU_12830
NZ_CP015975.1,A8O17_RS06640,1265228,1266229,-,BSU_12840
NZ_CP015975.1,A8O17_RS06645,1266242,1266859,-,BSU_12850
NZ_CP015975.1,A8O17_RS06650,1267135,1268451,-,BSU_12860
NZ_CP015975.1,A8O17_RS06655,1268840,1269790,+,BSU_12870
NZ_CP015975.1,A8O17_RS20810,1269891,1270037,+,BSU_12875
NZ_CP015975.1,A8O17_RS06660,1270045,1272195,+,BSU_12880
NZ_CP015975.1,A8O17_RS06665,1272207,1273178,+,BSU_12890
NZ_CP015975.1,A8O17_RS06675,1273696,1275045,-,BSU_12900
NZ_CP015975.1,A8O17_RS06680,1275214,1276032,+,BSU_12910
NZ_CP015975.1,A8O17_RS06685,1276161,1276985,+,BSU_12920
NZ_CP015975.1,A8O17_RS06690,1277002,1277928,+,BSU_12930
NZ_CP015975.1,A8O17_RS06695,1277934,1278896,+,BSU_12940
NZ_CP015975.1,A8O17_RS06700,1278901,1279908,+,BSU_12950
NZ_CP015975.1,A8O17_RS06705,1279911,1281560,+,BSU_12960
NZ_CP015975.1,A8O17_RS06710,1281648,1282607,+,BSU_12970
NZ_CP015975.1,A8O17_RS06715,1282604,1283704,+,BSU_12980
NZ_CP015975.1,A8O17_RS06720,1283701,1284591,+,BSU_12990
NZ_CP015975.1,A8O17_RS06725,1284604,1285593,+,BSU_13000
NZ_CP015975.1,A8O17_RS06730,1285636,1286685,-,BSU_13010
NZ_CP015975.1,A8O17_RS06735,1286775,1287635,-,BSU_13020
NZ_CP015975.1,A8O17_RS06740,1287795,1288313,+,BSU_13030
NZ_CP015975.1,A8O17_RS06745,1288552,1289751,+,BSU_13040
NZ_CP015975.1,A8O17_RS06750,1289828,1290052,-,BSU_13050
NZ_CP015975.1,A8O17_RS06755,1290197,1290928,+,BSU_13060
NZ_CP015975.1,A8O17_RS06760,1291020,1291547,+,BSU_13070
NZ_CP015975.1,A8O17_RS06765,1291537,1292055,+,BSU_13080
NZ_CP015975.1,A8O17_RS06770,1292277,1292615,+,BSU_13090
NZ_CP015975.1,A8O17_RS06775,1292615,1292932,+,BSU_13100
